restaurant_id,avg_processing_time
R1,NULL
R10,2.00000000
R100,NULL
R101,NULL
R102,791.16666667
R104,126.30000000
R105,2.00000000
R106,42.00000000
R107,2.00000000
R11,275.69166667
R110,NULL
R112,2.00000000
R113,NULL
R114,NULL
R116,2.00000000
R118,810.75000000
R119,489.61666667
R12,42.00000000
R120,NULL
R121,NULL
R122,NULL
R123,2.00000000
R124,488.18333333
R125,2.00000000
R126,NULL
R127,NULL
R128,209.26666667
R13,2.00000000
R131,153.81666667
R132,NULL
R134,2.00000000
R136,379.32500000
R137,2.00000000
R140,2.00000000
R142,NULL
R143,73.00000000
R145,2.00000000
R147,155.25000000
R15,2.00000000
R150,2.00000000
R152,2.00000000
R153,2.00000000
R154,2.00000000
R157,2.00000000
R158,2.00000000
R159,NULL
R16,2.00000000
R161,2.00000000
R162,2.00000000
R166,2.00000000
R168,2.00000000
R169,NULL
R17,2.00000000
R170,186.16666667
R172,2.00000000
R173,42.00000000
R174,850.53333333
R175,2.00000000
R176,2.00000000
R177,121.01666667
R178,NULL
R18,2.00000000
R181,2.00000000
R183,NULL
R184,NULL
R185,2.00000000
R191,2.00000000
R192,2.00000000
R193,NULL
R194,2.00000000
R198,2.00000000
R199,2.00000000
R2,2.00000000
R20,2.00000000
R21,2.00000000
R22,1026.03333333
R24,2.00000000
R26,NULL
R29,94.25000000
R3,2.00000000
R33,2.00000000
R34,42.00000000
R35,2.00000000
R36,2.00000000
R37,522.01666667
R38,2.00000000
R40,654.38333333
R41,NULL
R42,911.11666667
R44,2.00000000
R45,2.00000000
R46,2.00000000
R47,602.00000000
R48,NULL
R50,2.00000000
R51,53.65833333
R57,NULL
R58,2.00000000
R6,1214.08333333
R60,2.00000000
R61,31.02500000
R62,134.53333333
R63,NULL
R64,NULL
R66,NULL
R67,NULL
R68,NULL
R69,842.20000000
R7,2.00000000
R70,2.00000000
R71,2.00000000
R74,2.00000000
R76,270.81666667
R79,2.00000000
R80,2.00000000
R81,625.06666667
R84,2.00000000
R85,161.48333333
R86,2.00000000
R89,12.97777778
R9,2.00000000
R90,NULL
R92,NULL
R95,272.54444444
R96,303.64444444
R97,264.58333333
R98,2.00000000
