item_name,restaurant_name,total_sales
Churros,Holmes-Harmon,879.8900000000001
"Chiles Rellenos",Gilbert-Lee,793.2
"Sweet and Sour Pork","El Pollo Loco",792.49
Churros,"El Charro Cafe",781.5600000000001
"Spaghetti Carbonara","The Cozy Café",721.8
Udon,Simpson-Perkins,718.24
Risotto,Nguyen-Jenkins,696.64
Burrito,"La Poblanita",693.4499999999999
Enchiladas,"The Blue Olive",690.1200000000001
"Pizza Margherita","El Pollo Loco",670.8
Biryani,"La Poblanita",647.0799999999999
"Rogan Josh","Wilkerson LLC",644.4
Udon,Salazar-Turner,641.5500000000001
"Chiles Rellenos","Wilkerson LLC",638.4000000000001
Burrito,"El Pollo Loco",629.0699999999999
Ramen,"Kathi Roll Corner",610.81
"Fried Rice",Nguyen-Jenkins,602.3999999999999
"Rogan Josh","Burke LLC",599.84
Tacos,"Burke LLC",578.55
Biryani,Holmes-Harmon,552.64
Sushi,Nguyen-Jenkins,519.96
Biryani,"Pind Balluchi",511.2800000000001
Tiramisu,"The Blue Olive",505.79999999999995
"Miso Soup","The Spicy Noodle",465.9
Churros,Richardson-Young,460.32000000000005
"Chiles Rellenos",Salazar-Turner,460.2
"Gulab Jamun",Vasquez-Leonard,443.03999999999996
"Spaghetti Carbonara",Gilbert-Lee,432.6
Risotto,"Taqueria Los Comales",408.64
Udon,"Fox PLC",389.61
Risotto,"El Pollo Loco",379.04
"Miso Soup",Adams-Kennedy,340
"Butter Chicken","Chettinadu Kitchen",330.53999999999996
Tiramisu,"The Spicy Noodle",326.73999999999995
Risotto,"Burke LLC",326.54999999999995
Burrito,"La Poblanita",324.66
"Fried Rice",Simpson-Perkins,282.52
"Rogan Josh","Miller Ltd",282
Tiramisu,"The Golden Spoon",277.79999999999995
Sushi,"Holmes and Sons",262.34000000000003
"Fried Rice","Keralite Kitchen",223.65
Tempura,"El Pollo Loco",218.39999999999998
Tiramisu,Jones-Cobb,162.11
Lasagna,"The Blue Olive",157.76
"Sweet and Sour Pork","Holmes and Sons",150.93
"Gulab Jamun","Gutierrez Ltd",144.17000000000002
"Fried Rice","Miller Ltd",144.16
"Miso Soup",Nguyen-Jenkins,136.89
"Butter Chicken","El Pollo Loco",131.85
Tacos,"Johnson and Levy Brothers",126.24
Burrito,"Miller Ltd",101
Udon,Simpson-Perkins,100.39999999999999
"Sweet and Sour Pork",Hernandez-Montgomery,84.84
