zip_code,orders_per_zip,employees_per_zip
00635,0,0
01449,3,0
02976,0,0
03186,0,1
03265,3,1
04259,3,1
04631,4,0
05977,1,0
06394,3,0
08068,2,0
10814,2,0
12845,2,0
13104,2,0
13463,0,1
14811,1,2
15026,1,1
19376,1,0
19503,0,0
20499,0,1
20750,3,0
21642,4,1
22394,1,1
27844,3,0
28219,2,1
28864,0,0
30415,3,3
30796,0,1
31183,1,0
33855,3,1
34038,2,0
35066,3,0
35580,0,0
37578,1,0
38259,0,0
39540,1,0
39674,2,0
40933,1,0
41321,2,0
42513,0,0
42773,0,0
43535,0,0
45360,2,0
47655,1,0
47719,0,1
48646,1,1
49151,6,0
49241,1,0
49362,1,3
50134,0,0
50260,1,0
50981,1,0
51334,3,0
51520,5,0
51822,0,0
51823,0,0
52390,0,0
52576,1,1
53210,2,0
54999,0,0
55315,1,0
55492,3,0
56220,1,0
56747,1,0
57461,3,0
59684,1,0
59895,1,0
60398,0,0
60550,4,0
60908,1,0
61520,1,0
62174,1,1
62629,0,0
62636,0,0
63739,1,0
66732,4,0
68520,1,0
68961,1,0
69577,2,1
70750,1,0
71385,1,1
71518,1,0
72092,0,0
72599,3,0
73514,1,0
77405,2,0
77719,5,0
78250,3,0
79627,2,1
79802,1,0
79856,4,1
80205,0,1
80603,3,0
81580,3,0
82235,1,0
82801,2,0
83156,4,0
83256,2,0
83517,1,0
84198,1,0
86237,1,0
86529,2,0
87170,3,0
87402,0,0
87500,1,0
88713,0,0
88980,0,0
89266,3,0
90445,0,0
90811,3,0
91731,2,0
92387,2,0
92587,1,0
93734,2,1
94562,4,0
95479,12,0
96589,1,1
96782,3,0
97293,2,0
97350,3,1
98143,0,0
98156,2,0
99202,0,0
