restaurant_id,restaurant_Name,average_rating
R98,Powers-Lindsey,5.0000
R10,Wells-Cummings,5.0000
R158,Brown-Mejia,5.0000
R91,Lopez-Hernandez,5.0000
R29,"The Cozy Café",5.0000
R148,"El Farolito",5.0000
R131,Salazar-Turner,5.0000
R33,"Burke LLC",5.0000
R146,Robles-Morton,5.0000
R116,"Young Inc",5.0000
R193,Turner-Pratt,5.0000
R4,"Matthews Ltd",5.0000
R194,Park-Duran,5.0000
R67,"Pind Balluchi",5.0000
R66,"Pitts LLC",5.0000
R124,"Bong Appetit",5.0000
R43,Carr-Gonzalez,5.0000
R163,Gutierrez-Walters,5.0000
R126,Johnston-Sullivan,4.5000
R1,"Robertson Bakery",4.5000
R190,Martin-Moore,4.5000
R112,Robbins-Miller,4.5000
R23,"The Golden Spoon",4.5000
R168,Grant-Harvey,4.3333
R45,"The Spicy Noodle",4.0000
R65,"Maldonado Ltd",4.0000
R134,Beck-Beck,4.0000
R119,"Bates Ltd",4.0000
R113,Webb-Smith,4.0000
R109,"Fisher LLC",4.0000
R57,Wallace-Delgado,4.0000
R56,Smith-Baker,4.0000
R167,"Randall Ltd",4.0000
R185,Knapp-Taylor,4.0000
R7,"Harding Lobsters",3.6667
R160,Sims-Walker,3.6667
R52,Ward-Romero,3.6667
R136,"Amritsari Kulcha Corner",3.5000
R187,"Gonzalez and Sons",3.5000
R115,"La Hacienda Ranch",3.0000
R120,"El Charro Cafe",3.0000
R13,"The Maxican Gill",3.0000
R144,"El Triunfo",3.0000
R152,"Rich Group",3.0000
R169,"Hobbs Ltd",3.0000
R173,"Chicken Express",3.0000
R99,"Mi Tierra Cafe y Panaderia",3.0000
R181,"Knight PLC",3.0000
R198,"Wilkerson LLC",3.0000
R22,"The Green Plate",3.0000
R41,"The Green Peas",3.0000
R54,"Udipi Cafe",3.0000
R77,"Chapman PLC",3.0000
R86,"Taqueria Los Comales",3.0000
R87,"Owens LLC",3.0000
R89,"El Pollo Loco",3.0000
R102,"La Cocina de Consuelo",3.0000
R125,"Pindi Chole Wala",2.6667
R179,"Hunter Grills",2.5000
R174,"Mole Poblano Cafe",2.5000
R164,"The Austin Bites",2.5000
R143,Brown-Jackson,2.5000
R153,"Oaxaca Taqueria",2.5000
R48,Ruiz-Patel,2.5000
R34,"Raymond Group",2.5000
R133,"Pham LLC",2.0000
R178,Scott-Johnson,2.0000
R27,Lewis-Forbes,2.0000
R32,"The Cozy Café",2.0000
R147,"El Cholo",2.0000
R171,"Urban Tadaka",2.0000
R105,"Los Tres Amigos",2.0000
R40,"The Spicy Noodle",2.0000
R188,"The New York Eats",2.0000
R189,Mcdowell-Nguyen,2.0000
R69,"Collier Group",2.0000
R123,Collins-Fernandez,2.0000
R121,"La Azteca Tortilleria",2.0000
R68,"Jones Group",2.0000
R20,"The Blue Olive",2.0000
R74,Mccullough-Cooper,2.0000
R177,Bauer-Moore,2.0000
R127,Peters-Miller,1.6667
R37,Simpson-Perkins,1.0000
R39,"Sullivan Group",1.0000
R12,"Mcdowell Inc",1.0000
R138,"Brooks Group",1.0000
R108,Fletcher-King,1.0000
R142,"Annapurna Bhojanalaya",1.0000
R90,"La Tapatia",1.0000
R96,"Miller Ltd",1.0000
R199,Havemore,1.0000
R18,"The Hungry Fox",1.0000
