restaurant_id,restaurant_Name,num_orders
R15,"Patton Group",4
R198,"Wilkerson LLC",4
R38,Lawrence-Moore,4
R71,"Keralite Kitchen",4
R9,"Smith and Sons",4
R96,"Miller Ltd",4
R107,"Reyes PLC",3
R131,Salazar-Turner,3
R145,"La Poblanita",3
R21,Riddle-Johnson,3
R33,"Peterson, Kent and Rivera",3
R45,"Lewis PLC",3
R47,Mendoza-Perez,3
R79,Holmes-Harmon,3
R89,"El Pollo Loco",3
R95,"El Rincon Mexicano",3
R10,Schmidt-Nolan,2
R104,Jones-Cobb,2
R11,Houston-Rodriguez,2
R120,"El Charro Cafe",2
R13,"Evans, Miller and Morse",2
R136,"Amritsari Kulcha Corner",2
R137,Richardson-Young,2
R147,"El Cholo",2
R157,"Casa Vega",2
R158,Brown-Mejia,2
R16,Robertson-Becker,2
R172,Vasquez-Leonard,2
R174,"Mole Poblano Cafe",2
R176,Scott-Yang,2
R183,"Hernandez Waffles",2
R184,Adams-Kennedy,2
R191,"Holmes and Sons",2
R192,Smith-Curtis,2
R24,"Krause LLC",2
R29,"Hall PLC",2
R3,"Caldwell LLC",2
R34,"Hale, Howell and Clark",2
R35,Barr-Miller,2
R37,Robinson-Lee,2
R40,"Klein, Alvarez and Johnson",2
R51,"Davis Inc",2
R58,"Chettinadu Kitchen",2
R61,Morrow-Best,2
R62,"Mccann Inc",2
R63,Rogers-Baker,2
R64,"Kathi Roll Corner",2
R67,"Pind Balluchi",2
R7,"Haney, Hudson and Davis",2
R80,"Biryani Paradise",2
R85,"Fox PLC",2
R86,"Taqueria Los Comales",2
R92,"Mcneil Inc",2
R1,"Brown LLC",1
R100,"Robinson LLC",1
R101,Brewer-Bennett,1
R102,"La Cocina de Consuelo",1
R105,"Los Tres Amigos",1
R106,"La Carreta",1
R110,"Moss Ltd",1
R112,Robbins-Miller,1
R113,Webb-Smith,1
R114,"Smith Inc",1
R116,"Young Inc",1
R118,"Taqueria El Antojito",1
R119,"Bates Ltd",1
R12,Dunn-Matthews,1
R121,"La Azteca Tortilleria",1
R122,"Dakshin Curry House",1
R123,Collins-Fernandez,1
R124,"Bong Appetit",1
R125,"Pindi Chole Wala",1
R126,Johnston-Sullivan,1
R127,Peters-Miller,1
R128,Jones-Owens,1
R129,"Anderson Group",1
R132,"Davis and Sons",1
R134,Beck-Beck,1
R140,"Henderson and Sons",1
R142,"Annapurna Bhojanalaya",1
R143,Brown-Jackson,1
R150,Powell-Wood,1
R152,"Rich Group",1
R153,"Oaxaca Taqueria",1
R154,Mcneil-Lawson,1
R159,"Burger King",1
R161,"El Guapo",1
R162,"Williams Group",1
R166,Smith-Munoz,1
R168,Grant-Harvey,1
R169,"Hobbs Ltd",1
R17,"Harrington, Golden and Wood",1
R170,Rivas-James,1
R173,"Chicken Express",1
R175,"Taco Bell",1
R177,Bauer-Moore,1
R178,Scott-Johnson,1
R18,"Gutierrez Ltd",1
R181,"Knight PLC",1
R185,Knapp-Taylor,1
R193,Turner-Pratt,1
R194,Park-Duran,1
R199,Havemore,1
R2,"Murphy, Vang and Rivera",1
R20,"Mitchell, Todd and Cole",1
R22,"Roberts, Lara and Nguyen",1
R26,"Stewart, Weber and Logan",1
R28,"Johnson LLC",1
R36,Young-Powell,1
R41,"Miller, Williams and Brown",1
R42,Johnson-Rivas,1
R44,"Martin Group",1
R46,"Chan LLC",1
R48,Armstrong-Wood,1
R50,"Schneider and Sons",1
R57,Wallace-Delgado,1
R6,"Gaines Group",1
R60,"Mccormick Inc",1
R66,"Pitts LLC",1
R68,"Jones Group",1
R69,"Collier Group",1
R70,Martin-Sanders,1
R74,Mccullough-Cooper,1
R76,"Andhra Spice",1
R81,"King and Sons",1
R84,"Marquez Group",1
R90,"La Tapatia",1
R97,"La Super-Rica Taqueria",1
R98,Powers-Lindsey,1
