restaurant_id,avg_orders_per_month
R71,1
R174,2
R107,2
R28,1
R37,1
R79,1
R123,1
R175,1
R101,1
R11,1
R110,1
R198,1
R152,1
R3,1
R40,1
R172,1
R159,1
R158,1
R1,1
R137,1
R42,1
R157,1
R69,1
R21,1
R29,1
R183,1
R102,1
R106,1
R161,1
R67,1
R51,1
R66,1
R46,1
R80,1
R24,1
R118,1
R120,1
R45,2
R191,1
R76,1
R38,1
R61,1
R132,1
R119,1
R20,1
R173,1
R168,1
R131,1
R62,1
R145,1
R89,1
R17,1
R95,1
R9,1
R143,1
R177,1
R194,1
R33,1
R18,1
R6,1
R7,1
R100,1
R86,1
R98,1
R47,1
R63,1
R121,1
R92,1
R15,1
R81,1
R140,1
R122,1
R126,1
R41,1
R35,1
R74,1
R22,1
R104,1
R26,1
R178,1
R36,1
R58,1
R50,1
R136,1
R2,1
R16,1
R64,1
R84,1
R105,1
R85,1
R96,1
R10,1
R70,1
R90,1
R176,1
R170,1
R116,1
R34,1
R150,1
R184,1
R13,1
R154,1
R192,1
R199,1
R169,1
R125,1
R128,1
R127,1
R129,1
R134,1
R97,1
R162,1
R166,1
R113,1
R60,1
R153,1
R181,1
R124,1
R48,1
R57,1
R112,1
R147,1
R12,1
R114,1
R142,1
R185,1
R44,1
R68,1
R193,1
