item_name,restaurant_name,total_sales
Churros,Holmes-Harmon,879.8900000000001
"Chiles Rellenos","Patton Group",793.2
"Sweet and Sour Pork","El Pollo Loco",792.49
Churros,"El Charro Cafe",781.5600000000001
"Spaghetti Carbonara","Hall PLC",721.8
Udon,Robinson-Lee,718.24
Enchiladas,Riddle-Johnson,690.1200000000001
"Pizza Margherita","El Pollo Loco",670.8
"Miso Soup","Smith and Sons",659.84
Biryani,"La Poblanita",647.0799999999999
Udon,Salazar-Turner,641.5500000000001
"Chiles Rellenos","Wilkerson LLC",638.4000000000001
Burrito,"El Pollo Loco",629.0699999999999
Ramen,"Kathi Roll Corner",610.81
"Fried Rice","Smith and Sons",602.3999999999999
Tacos,"Peterson, Kent and Rivera",578.55
Biryani,Holmes-Harmon,552.64
Biryani,"Pind Balluchi",511.2800000000001
"Wonton Soup","Miller Ltd",511.2
Tiramisu,Riddle-Johnson,505.79999999999995
"Miso Soup","Lewis PLC",465.9
Churros,Richardson-Young,460.32000000000005
"Chiles Rellenos",Salazar-Turner,460.2
Enchiladas,"La Poblanita",445.2
"Gulab Jamun",Vasquez-Leonard,443.03999999999996
"Miso Soup","Patton Group",419.85
Lasagna,Mendoza-Perez,417.43
Risotto,"Taqueria Los Comales",408.64
Tacos,"Wilkerson LLC",403.65
Udon,"Fox PLC",389.61
Risotto,"El Pollo Loco",379.04
"Butter Chicken","Chettinadu Kitchen",330.53999999999996
Tiramisu,"Lewis PLC",326.73999999999995
Risotto,"Peterson, Kent and Rivera",326.54999999999995
Burrito,"La Poblanita",324.66
"Fried Rice",Adams-Kennedy,302.26
"Fried Rice",Robinson-Lee,282.52
"Rogan Josh","Miller Ltd",282
Tiramisu,"Krause LLC",277.79999999999995
Sushi,"Holmes and Sons",262.34000000000003
"Wonton Soup","Smith and Sons",244.02
"Chiles Rellenos","Peterson, Kent and Rivera",228.16
"Fried Rice","Keralite Kitchen",223.65
Tempura,"El Pollo Loco",218.39999999999998
Tiramisu,Jones-Cobb,162.11
Lasagna,Riddle-Johnson,157.76
"Sweet and Sour Pork","Holmes and Sons",150.93
"Miso Soup","Smith and Sons",136.89
"Butter Chicken","El Pollo Loco",131.85
Tacos,"Caldwell LLC",126.24
Burrito,"Miller Ltd",101
Udon,Robinson-Lee,100.39999999999999
Enchiladas,Lawrence-Moore,72.66
