zip_code,hour_of_day,num_orders
01449,19,1
03265,0,1
04259,10,2
04631,14,1
05977,8,1
06394,11,1
08068,0,1
10814,21,1
12845,14,1
13104,21,1
13306,17,1
14811,10,1
15026,12,1
15408,1,2
15955,22,1
19376,17,1
20750,1,2
21642,7,1
22394,12,1
27844,13,1
28219,16,1
28400,9,1
30415,7,1
31183,4,1
33855,22,1
34038,8,1
35066,22,1
37578,16,1
39540,6,1
40933,6,1
41321,0,1
45360,13,1
48646,17,1
49151,19,2
49241,10,1
49362,8,1
50260,4,1
50981,10,1
51334,13,1
51520,3,1
52576,7,1
53210,16,2
55315,15,1
55492,8,1
56220,14,1
56747,0,1
57461,13,1
59625,3,1
59684,19,1
59895,18,1
60550,21,2
60908,8,1
61520,15,1
62174,7,1
66732,22,1
67011,15,1
68520,18,1
68961,21,1
69577,23,1
70750,16,1
71385,1,1
71518,18,1
73514,9,1
77405,11,1
77719,3,1
78250,16,1
79627,7,1
79802,15,1
79856,1,1
80603,22,1
81580,17,1
82235,22,1
82801,3,1
83156,12,1
83256,5,1
83517,2,1
86237,22,1
86529,19,1
87170,1,1
87500,2,1
89266,8,1
90811,0,1
91731,13,1
92387,2,1
92587,6,1
93734,15,1
94562,12,1
95479,6,2
96589,4,1
96782,14,1
97293,12,1
97350,12,1
98156,21,2
