order_id,customer_id,restaurant_id,employee_id,order_date,order_time,delivery_charges,distance_from_restaurant,prepared_time,out_for_delivery_time,delivered_time,pick_up_time,estimated_delivery_time,completion_time,cancellation_time,refund_time,payment_type,flag,tip_amount
O1,C89,R28,E25,2022-06-27,06:00:30,"","",08:33:43,"","",09:13:43,"",09:13:43,,,MASTER DEBIT,pickup,9.87
O2,C130,R9,E41,2022-03-14,08:02:33,7.85,4.85,08:03:33,08:04:33,08:06:33,08:05:33,19,08:07:33,,,AMEX DEBIT,delivered,4.95
O3,C101,R116,E11,2022-03-12,16:23:09,7.35,9.19,16:24:09,16:25:09,16:27:09,16:26:09,33,16:28:09,,,AMEX CREDIT,delivered,3.79
O4,C181,R95,E3,2022-10-09,08:04:16,7.75,1.59,18:57:38,19:29:38,20:26:50,19:30:38,6,20:30:16,,,MASTER DEBIT,cancelled,1.62
O5,C132,R129,E49,2022-10-24,20:03:53,"","","","",,"","",23:03:11,20:33:53,21:00:23,MASTER DEBIT,suspicious,1.45
O6,C113,R192,E19,2022-09-20,19:08:57,6.3,8.98,19:09:57,19:10:57,19:12:57,19:11:57,23,19:13:57,,,AMEX DEBIT,delivered,2.12
O7,C22,R174,E41,2022-03-12,00:11:16,13.97,14.03,13:51:48,14:21:48,14:42:29,14:22:48,36,14:52:49,,,AMEX DEBIT,suspicious,1.29
O8,C178,R112,E25,2022-08-08,10:20:24,8.21,8.39,10:21:24,10:22:24,10:24:24,10:23:24,32,10:25:24,,,MASTER CREDIT,cancelled,5.62
O9,C121,R71,E8,2022-08-16,16:16:44,8.09,7.02,16:17:44,16:18:44,,16:19:44,23,10:20:04,09:20:35,10:09:29,VISA DEBIT,cancelled,4.44
O10,C14,R107,E25,2022-02-15,06:27:37,14.88,13.15,18:54:03,18:59:03,19:09:03,"",19:19:03,19:09:03,19:28:28,20:11:03,VISA DEBIT,suspicious,5.16
O11,C90,R40,E26,2022-04-10,01:13:22,12.36,14.79,05:06:38,05:28:38,05:36:44,05:29:38,36,05:38:21,,,MASTER CREDIT,cancelled,7.14
O12,C101,R183,E12,2022-02-21,22:52:53,7.02,5.66,22:53:53,22:58:48,,22:59:48,19,00:33:13,23:30:36,00:29:25,MASTER CREDIT,suspicious,1.92
O13,C125,R24,E49,2022-05-06,04:52:39,7.05,6.33,04:53:39,04:54:39,04:56:39,04:55:39,25,04:57:39,,,CASH,suspicious,3.86
O14,C37,R119,E12,2022-06-12,13:09:13,6.54,3.27,20:41:50,21:18:50,21:37:38,21:19:50,10,21:46:28,,,MASTER CREDIT,cancelled,8.75
O15,C45,R95,E32,2023-02-06,16:44:33,13.29,11.37,16:45:33,16:46:33,,16:47:33,23,12:50:26,12:13:13,12:42:06,MASTER CREDIT,suspicious,6.11
O16,C180,R157,E12,2022-06-22,11:31:06,9.87,1.26,11:32:06,11:33:06,11:35:06,11:34:06,4,11:36:06,,,MASTER DEBIT,suspicious,7.81
O17,C44,R191,E22,2022-10-21,10:28:26,13.53,10.14,14:35:47,15:01:47,15:11:19,15:02:47,36,15:11:50,,,AMEX CREDIT,suspicious,8.3
O18,C188,R89,E50,2022-07-15,21:09:00,10.73,12.38,21:10:00,21:29:27,21:52:40,21:30:27,26,21:55:41,,,AMEX CREDIT,delivered,8.94
O19,C131,R50,E34,2022-02-27,13:31:20,6.84,2.25,13:32:20,13:33:20,13:35:20,13:34:20,6,13:36:20,,,AMEX CREDIT,delivered,5.86
O20,C21,R96,E18,2022-08-18,15:34:19,9.8,5.59,15:35:19,15:36:19,15:38:19,15:37:19,21,15:39:19,,,AMEX CREDIT,cancelled,6.53
O21,C97,R10,E27,2022-09-21,16:42:05,16.24,11.23,16:43:05,16:44:05,,16:45:05,36,07:17:32,06:49:54,07:04:50,VISA DEBIT,cancelled,6.35
O22,C163,R145,E6,2022-11-26,18:10:49,8.61,8.53,18:11:49,18:12:49,18:14:49,18:13:49,24,18:15:49,,,MASTER CREDIT,delivered,4.54
O23,C177,R70,E38,2022-03-07,23:32:39,19.55,13.67,23:33:39,23:34:39,23:36:39,23:35:39,47,23:37:39,,,AMEX DEBIT,delivered,2.54
O24,C147,R47,E4,2022-08-08,17:54:36,6.21,6.74,20:52:12,21:17:12,21:54:52,21:18:12,15,22:01:01,,,AMEX DEBIT,delivered,7.89
O25,C21,R90,E45,2022-05-26,11:37:55,16.75,14.28,20:04:59,20:29:59,20:35:56,20:30:59,45,20:38:46,,,MASTER CREDIT,delivered,2.75
O26,C39,R92,E4,2023-02-12,09:25:16,9.95,9.54,17:52:29,18:11:29,18:57:28,18:12:29,33,19:07:00,,,VISA CREDIT,suspicious,9.56
O27,C113,R15,E33,2022-07-27,17:28:42,14.31,14.21,17:29:42,17:30:42,17:32:42,17:31:42,38,17:33:42,,,AMEX CREDIT,suspicious,8.32
O28,C152,R176,E23,2022-07-17,08:33:26,5.86,4.1,17:49:34,18:13:34,18:37:26,18:14:34,15,18:47:28,,,AMEX CREDIT,cancelled,7.72
O29,C162,R170,E40,2022-06-07,15:27:23,9.33,7.21,17:59:33,18:33:33,,18:34:33,21,19:22:16,18:46:16,19:08:25,AMEX DEBIT,cancelled,4.05
O30,C187,R64,E17,2022-11-30,16:55:05,9.1,8.1,18:26:12,18:46:12,19:40:44,18:47:12,17,19:41:58,,,AMEX CREDIT,suspicious,3.24
O31,C80,R85,E5,2022-08-15,02:35:55,7.73,9.92,07:27:13,07:56:13,08:23:17,07:57:13,34,08:32:45,,,AMEX DEBIT,delivered,1.99
O32,C66,R34,E15,2022-10-12,10:59:17,7.38,3.75,11:00:17,11:01:17,11:03:17,11:02:17,9,11:04:17,,,VISA CREDIT,cancelled,6.75
O33,C124,R38,E17,2022-09-04,13:56:55,15.29,14.75,13:57:55,13:58:55,,13:59:55,37,06:52:18,06:30:40,06:46:56,CASH,suspicious,6.15
O34,C171,R150,E31,2022-03-24,15:44:07,8.94,6.88,15:45:07,15:46:07,15:48:07,15:47:07,15,15:49:07,,,AMEX CREDIT,suspicious,9.04
O35,C107,R184,E34,2022-05-26,13:14:45,6.69,4.81,14:45:04,15:07:04,15:25:17,15:08:04,11,15:36:35,,,MASTER DEBIT,delivered,1.8
O36,C199,R15,E21,2022-08-23,01:08:31,7.87,3.34,17:38:54,18:05:54,18:31:57,18:06:54,12,18:42:10,,,VISA CREDIT,suspicious,2.12
O37,C18,R13,E41,2023-04-05,13:21:35,17.18,14.19,13:22:35,13:23:35,13:25:35,13:24:35,34,13:26:35,,,VISA DEBIT,delivered,8.48
O38,C27,R154,E18,2022-04-02,15:16:30,5.29,3.04,15:17:30,15:18:30,15:20:30,15:19:30,8,15:21:30,,,VISA DEBIT,suspicious,0.6
O39,C73,R192,E6,2022-06-11,03:18:12,6.23,3.52,12:17:10,12:40:10,12:42:41,12:41:10,13,12:43:37,,,MASTER DEBIT,delivered,9.95
O40,C127,R10,E15,2022-12-16,14:37:41,9.89,7.32,14:38:41,14:39:41,14:41:41,14:40:41,18,14:42:41,,,VISA DEBIT,cancelled,6.83
O41,C87,R199,E12,2022-06-08,12:21:13,5.7,9.55,12:22:13,12:23:13,,12:24:13,33,09:13:29,08:30:42,09:11:14,CASH,suspicious,9.65
O42,C60,R58,E7,2022-04-21,19:23:51,7.81,4.13,19:24:51,19:25:51,19:27:51,19:26:51,13,19:28:51,,,VISA CREDIT,delivered,0.96
O43,C46,R169,E35,2022-01-26,01:45:44,5.3,4.88,10:48:15,11:15:15,12:09:23,11:16:15,12,12:11:49,,,VISA DEBIT,suspicious,6.09
O44,C38,R86,E16,2022-03-10,11:33:49,17.73,14.89,11:34:49,11:35:49,11:37:49,11:36:49,43,11:38:49,,,CASH,suspicious,8.11
O45,C198,R176,E42,2022-10-21,15:12:34,15.02,14.43,15:13:34,15:14:34,15:16:34,15:15:34,57,15:17:34,,,AMEX DEBIT,suspicious,2.3
O46,C66,R125,E10,2022-09-13,19:48:28,10.95,11.13,19:49:28,19:50:28,19:52:28,19:51:28,24,19:53:28,,,AMEX DEBIT,cancelled,7.15
O47,C1,R128,E14,2022-03-11,15:08:04,7.32,1.09,18:22:20,18:37:20,,18:38:20,3,19:25:27,19:12:07,19:23:56,CASH,cancelled,7.13
O48,C187,R136,E21,2022-07-31,20:28:19,13.28,10.45,20:29:19,20:30:19,20:32:19,20:31:19,33,20:33:19,,,CASH,cancelled,9.17
O49,C194,R127,E11,2022-02-20,18:58:44,9.69,2.18,20:15:22,20:34:22,,20:35:22,6,21:43:37,21:27:46,21:31:04,CASH,suspicious,9.83
O50,C81,R183,E31,2022-06-15,03:56:59,8.19,6.49,10:13:09,10:36:09,10:38:50,10:37:09,18,10:46:08,,,MASTER DEBIT,delivered,9.28
O51,C76,R33,E45,2023-01-22,08:19:44,5.97,8.49,09:31:43,09:43:43,09:47:21,09:44:43,19,09:52:36,,,CASH,cancelled,8.04
O52,C38,R79,E22,2022-12-23,15:26:05,9.86,1.77,15:27:05,15:28:05,,15:29:05,4,11:50:15,11:28:54,11:42:05,MASTER CREDIT,suspicious,7.43
O53,C147,R3,E39,2022-09-04,07:31:07,14.97,12.09,07:32:07,07:33:07,07:35:07,07:34:07,26,07:36:07,,,MASTER CREDIT,suspicious,4.04
O54,C64,R95,E40,2022-05-02,15:20:18,17.05,10.02,17:08:34,17:30:34,18:19:59,17:31:34,28,18:30:58,,,MASTER DEBIT,suspicious,6.09
O55,C156,R104,E11,2022-02-19,21:03:28,6.34,6.16,22:47:46,23:09:46,23:11:46,23:10:46,22,23:12:46,,,VISA CREDIT,delivered,3.93
O56,C131,R134,E4,2022-08-19,12:08:36,15.86,14.36,12:09:36,12:10:36,12:12:36,12:11:36,52,12:13:36,,,MASTER CREDIT,delivered,7.71
O57,C55,R145,E13,2022-12-21,05:48:29,7.11,7.9,18:57:13,19:21:13,19:23:13,19:22:13,20,19:29:54,,,AMEX DEBIT,suspicious,1.24
O58,C147,R97,E5,2022-12-11,06:21:00,7.07,9.59,10:32:35,10:45:35,10:58:07,10:46:35,37,11:03:28,,,MASTER DEBIT,cancelled,3.24
O59,C46,R38,E48,2022-01-08,04:18:08,5.88,7.98,04:19:08,04:20:08,,04:21:08,29,03:38:58,03:25:34,03:26:13,AMEX CREDIT,suspicious,4.95
O60,C135,R47,E42,2023-02-07,01:51:30,18.93,13.49,07:56:27,08:13:27,08:41:45,08:14:27,45,08:42:26,,,MASTER DEBIT,suspicious,9.64
O61,C116,R80,E30,2022-10-02,20:34:00,7.15,6.89,20:35:00,20:36:00,20:38:00,20:37:00,24,20:39:00,,,MASTER CREDIT,cancelled,3.67
O62,C26,R35,E32,2022-01-10,01:45:02,6.96,4.96,14:09:12,14:19:12,,14:20:12,14,14:54:29,14:47:07,14:48:53,MASTER DEBIT,cancelled,0.78
O63,C100,R15,E45,2022-12-03,09:21:54,8.23,4.41,09:22:54,09:23:54,,09:24:54,10,05:38:48,05:13:32,05:35:39,MASTER CREDIT,suspicious,6.37
O64,C105,R162,E33,2022-06-27,16:38:46,6.52,2.37,16:39:46,16:40:46,,16:41:46,9,09:36:22,08:47:20,09:22:41,AMEX CREDIT,cancelled,8.13
O65,C42,R166,E35,2022-03-14,22:16:27,16.67,14.36,22:17:27,22:18:27,22:20:27,22:19:27,30,22:21:27,,,VISA CREDIT,suspicious,4.82
O66,C175,R184,E20,2022-07-17,08:03:52,6.91,3.4,18:16:27,18:29:27,18:42:21,18:30:27,9,18:57:15,,,AMEX CREDIT,cancelled,1.03
O67,C181,R113,E14,2023-02-16,12:57:03,17.69,11.83,18:54:23,19:26:23,,19:27:23,30,20:27:14,19:31:42,20:15:11,VISA CREDIT,suspicious,6.9
O68,C158,R13,E46,2022-06-26,15:29:32,14.72,12.56,15:30:32,15:31:32,,15:32:32,33,14:37:23,14:09:58,14:31:52,AMEX DEBIT,cancelled,1.33
O69,C30,R60,E38,2022-05-28,22:52:58,6.3,3.09,22:53:58,22:54:58,,22:55:58,12,14:26:46,13:52:16,14:13:40,AMEX DEBIT,cancelled,1.68
O70,C52,R131,E3,2022-04-29,18:11:43,6.08,8.6,19:16:28,19:43:28,,19:44:28,33,20:23:27,20:02:07,20:22:23,MASTER DEBIT,suspicious,9.04
O71,C53,R24,E15,2022-06-21,14:55:40,10.15,10.72,14:56:40,14:57:40,15:29:51,14:58:40,35,15:35:54,,,MASTER DEBIT,suspicious,8.44
O72,C187,R34,E24,2022-12-14,01:57:27,11.11,14.58,03:02:43,03:29:43,03:31:06,03:30:43,43,03:33:06,,,CASH,cancelled,4.72
O73,C29,R153,E41,2022-09-05,21:16:41,18.8,11.77,21:17:41,21:18:41,,21:19:41,34,17:48:48,16:59:28,17:47:33,AMEX CREDIT,suspicious,1.04
O74,C63,R181,E6,2022-07-09,18:36:36,17.36,13.43,18:37:36,18:38:36,18:40:36,18:39:36,36,18:41:36,,,MASTER CREDIT,suspicious,3.2
O75,C127,R124,E34,2022-09-08,11:12:12,5.46,3.13,19:06:23,19:20:23,19:36:12,19:21:23,11,19:40:57,,,MASTER DEBIT,delivered,1.83
O76,C63,R51,E1,2022-10-13,05:57:16,8.98,3.4,06:36:35,07:02:35,07:36:29,07:03:35,9,07:37:00,,,VISA CREDIT,delivered,9.77
O77,C148,R48,E36,2022-04-15,00:47:46,11.88,12.86,20:07:40,20:38:40,20:43:42,20:39:40,30,20:53:10,,,AMEX DEBIT,suspicious,4.41
O78,C186,R57,E18,2022-01-08,13:38:19,7.33,5.66,19:45:18,20:11:18,20:44:19,20:12:18,18,20:53:19,,,MASTER DEBIT,delivered,7.46
O79,C174,R172,E40,2023-04-10,18:14:02,5.35,4.15,18:15:02,18:16:02,18:18:02,18:17:02,16,18:19:02,,,AMEX CREDIT,delivered,9.6
O80,C9,R63,E25,2022-03-09,03:04:18,9.75,3.44,03:56:00,04:17:00,04:30:16,04:18:00,10,04:43:22,,,AMEX CREDIT,suspicious,3.68
O81,C135,R147,E15,2022-06-16,17:00:29,5.22,8.37,21:39:59,22:08:59,22:34:52,22:09:59,24,22:45:33,,,AMEX CREDIT,suspicious,6.09
O82,C29,R16,E50,2023-02-01,21:08:56,14.63,14.38,21:09:56,21:28:28,21:50:25,21:29:28,53,22:01:38,,,VISA DEBIT,cancelled,8.1
O83,C154,R137,E34,2022-05-02,21:05:29,5.45,9.74,21:06:29,21:07:29,,21:08:29,26,12:57:25,12:30:55,12:43:40,MASTER CREDIT,suspicious,0.94
O84,C70,R12,E43,2022-02-15,16:59:45,12.56,14.49,17:00:45,17:01:45,17:03:45,17:02:45,40,17:04:45,,,MASTER CREDIT,suspicious,0.52
O85,C6,R96,E28,2023-02-24,15:12:39,11.36,12.71,15:13:39,15:14:39,15:16:39,15:15:39,28,15:17:39,,,VISA CREDIT,suspicious,7.31
O86,C178,R114,E33,2022-03-18,02:39:58,18.69,10.45,02:44:08,03:20:08,04:08:09,03:21:08,36,04:20:47,,,VISA CREDIT,delivered,0.26
O87,C30,R142,E12,2022-08-05,04:41:42,6.12,5.16,15:58:47,16:15:47,16:34:51,16:16:47,11,16:38:58,,,AMEX CREDIT,delivered,4.96
O88,C49,R185,E38,2022-05-05,21:42:29,8.53,6.19,21:43:29,21:44:29,21:46:29,21:45:29,17,21:47:29,,,MASTER DEBIT,cancelled,5.85
