restaurant_id,restaurant_name,apartment_building,street,city,state,zip_code,contact_no,contact_email,operating_hours
R1,Robertson Bakery,952,Scott Walk,South Michele,OK,23378,7627084104,dustinmitchell@smith.info,7:00 AM - 02:00 PM
R2,Patel-Brennan,810,Natalie Dale,Port Kristinefort,TX,95494,1089593890,hernandezmarie@hotmail.com,10:30 AM - 07:30 PM
R3,Johnson and Levy Brothers,9470,Anna Walks,New Cherylport,CO,80223,5056139222,sarahnicholson@garcia.com,12:00 AM - 06:00 PM
R4,Matthews Ltd,4764,Andrew Alley,West Steveborough,DE,89181,2000497688,smithharold@henry.com,10:00 AM - 10:00 PM
R5,Vazquez-Mahoney,4002,Holly Trail,Melindaborough,MS,01418,9929313395,david51@hotmail.com,20:00 AM - 03:00 PM
R6,Harris Ltd,098,Nichols Crest,Albertview,WV,39418,4010306359,tvelazquez@gmail.com,10:00 AM - 10:00 PM
R7,Harding Lobsters,6997,Rachel Loop,Sherryport,KY,12770,4016143768,howardmichelle@wells-bush.info,08:00 AM - 10:00 PM
R8,Smith Robins,21036,Robert Shore,Coxmouth,TN,66119,5132757314,christinamunoz@trevino-wright.com,03:30 AM - 07:00 PM
R9,Nguyen-Jenkins,169,Elizabeth Roads,Lopezmouth,ND,35977,2361757227,james76@gmail.com,06:30 AM - 04:30 PM
R10,Wells-Cummings,969,Ian River,Donaldstad,IN,70861,2051177074,stephenbeard@lawrence-flynn.com,24:00 AM - 18:00 PM
R11,Morgan Italian Nights,60960,Rios Pine,Lopezstad,SC,87889,4019764053,donna36@yahoo.com,00:30 AM - 08:30 PM
R12,Mcdowell Inc,47734,Deborah Pass,West Steveborough,DE,89181,1123199363,kylie07@hotmail.com,05:30 AM - 05:30 PM
R13,The Maxican Gill,84879,Samantha Harbor,Vasquezbury,PR,76988,7919757647,jessica51@doyle.net,09:00 AM - 07:00 PM
R14,La Marias Chicken,91593,Johnny Track,Padillamouth,PR,55900,3225828709,janemathews@hotmail.com,10:00 AM - 10:00 PM
R15,Gilbert-Lee,472,Graham Forge,Padillafort,CT,06084,4015565788,andreaandrews@gmail.com,03:00 AM - 08:30 PM
R16,Smith Wings,786,Norman Ridge,Thompsonshire,IL,22817,1805679890,martinezdana@gmail.com,22:00 AM - 00:00 PM
R17,Arnold and Sons,6287,Eaton Cliffs,Joditown,MT,82483,5011833937,kmills@yahoo.com,02:30 AM - 18:00 PM
R18,The Hungry Fox,0835,Francis Corner,North Michelleburgh,TN,36064,7781165290,alang@reynolds-nichols.org,01:00 AM - 22:00 PM
R19,The Spice Route,7583,Jeremy Extension,West Cassandraland,OR,85966,4383021213,zball@hotmail.com,11:30 AM - 17:30 PM
R20,The Blue Olive,039,Davila Key,Anthonyborough,CO,33017,8373974713,krobinson@hotmail.com,10:00 AM - 10:00 PM
R21,The Blue Olive,037,Armstrong Land,Edwardsland,PR,94235,4015891894,myersmary@delgado.com,10:00 AM - 10:00 PM
R22,The Green Plate,306,Cathy Causeway,Thompsonshire,IL,22817,3750125102,zvelazquez@gmail.com,10:00 AM - 10:00 PM
R23,The Golden Spoon,1042,Cook Path,Thomasshire,AL,95082,1552182575,beth04@rodriguez.com,02:30 AM - 01:00 PM
R24,The Golden Spoon,5259,Gould Causeway,East Kaitlynside,AL,32648,4783875258,vbeck@pierce.com,10:00 AM - 10:00 PM
R25,Davis Ltd,4737,Troy Avenue,Lake Markstad,MD,30088,4366702434,gwalker@gonzalez.com,01:00 AM - 14:30 PM
R26,The Secret Garden Cafe,359,Lisa Row,Port Ryanchester,IN,93029,1415805004,joshua79@yahoo.com,01:00 AM - 03:00 PM
R27,Lewis-Forbes,89576,Adam Stream,Lewiston,WA,88396,6123914264,utodd@hotmail.com,14:30 AM - 14:00 PM
R28,The Blueberry Hill,586,Jeffery Station,Nolanton,RI,41282,5224845422,bbrown@hotmail.com,10:00 AM - 10:00 PM
R29,The Cozy Café,819,Kim Plaza,Parrishberg,PR,44416,1392192251,duncanmelissa@gmail.com,08:00 AM - 12:30 PM
R30,Berg PLC,60532,Daniel Gardens,Carlahaven,NJ,73453,6019556093,john95@yahoo.com,12:30 AM - 05:00 PM
R31,Hernandez-Roberts,2163,Jennifer Unions,East Julieport,RI,22625,1519634947,danielflores@yahoo.com,19:00 AM - 17:00 PM
R32,The Cozy Café,48502,Lowery Rest,Rachelside,LA,61862,1484954219,fvaughn@stewart.org,22:00 AM - 04:00 PM
R33,Burke LLC,12767,Hayes Viaduct,East Julie,PA,16861,8955278232,ronaldrodriguez@yahoo.com,10:00 AM - 10:00 PM
R34,Raymond Group,961,Ryan Neck,Lewiston,WA,88396,5117775084,iserrano@yahoo.com,06:30 AM - 11:30 PM
R35,Chung Group,881,Benjamin Road,Nolanton,RI,41282,7013036473,edwardsbradley@hotmail.com,10:00 AM - 10:00 PM
R36,Lopez-Le,4145,Christopher Harbor,Montgomerytown,ND,02666,5642608677,julia24@gmail.com,10:00 AM - 10:00 PM
R37,Simpson-Perkins,94344,Robert Mews,Port David,VI,06088,2725243084,ashlee28@yahoo.com,10:00 AM - 10:00 PM
R38,Hernandez-Montgomery,637,Lewis Pass,Willisbury,GU,41148,5012509884,dunnrichard@smith-hansen.com,12:00 AM - 15:30 PM
R39,Sullivan Group,834,Gay Land,Brownside,PR,66384,4744099454,amberweaver@gmail.com,02:00 AM - 14:00 PM
R40,The Spicy Noodle,788,Saunders Ways,West Alexander,MH,87329,7820011649,ktucker@yahoo.com,10:00 AM - 10:00 PM
